detection_id,event_id,session_id,species_code,common_name,confidence,t_start_s,t_end_s,freq_low_hz,freq_high_hz,wav_path,channel,source,detection_duration_s,is_public
det_000001,event_20260111_112921_497,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_112921_497.wav,1,BirdNET,3.0,False
det_000002,event_20260111_112927_498,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_112927_498.wav,1,BirdNET,3.0,False
det_000003,event_20260111_112840_496,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_112840_496.wav,1,BirdNET,3.0,False
det_000004,event_20260111_113109_504,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_113109_504.wav,1,BirdNET,3.0,False
det_000005,event_20260111_113034_501,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_113034_501.wav,1,BirdNET,3.0,False
det_000006,event_20260111_112412_487,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_112412_487.wav,1,BirdNET,3.0,False
det_000007,event_20260111_112304_485,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_112304_485.wav,1,BirdNET,3.0,False
det_000008,event_20260111_112253_484,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_112253_484.wav,1,BirdNET,3.0,False
det_000009,event_20260111_112312_486,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_112312_486.wav,1,BirdNET,3.0,False
det_000010,event_20260111_112525_489,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_112525_489.wav,1,BirdNET,3.0,False
det_000011,event_20260111_112215_481,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_112215_481.wav,1,BirdNET,3.0,False
det_000012,event_20260111_113652_515,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_113652_515.wav,1,BirdNET,3.0,False
det_000013,event_20260111_113622_514,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_113622_514.wav,1,BirdNET,3.0,False
det_000014,event_20260111_113746_516,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_113746_516.wav,1,BirdNET,3.0,False
det_000015,event_20260111_113832_518,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_113832_518.wav,1,BirdNET,3.0,False
det_000016,event_20260111_113842_519,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_113842_519.wav,1,BirdNET,3.0,False
det_000017,event_20260111_113607_513,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_113607_513.wav,1,BirdNET,3.0,False
det_000018,event_20260111_113518_509,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_113518_509.wav,1,BirdNET,3.0,False
det_000019,event_20260111_113214_506,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_113214_506.wav,1,BirdNET,3.0,False
det_000020,event_20260111_113526_510,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_113526_510.wav,1,BirdNET,3.0,False
det_000021,event_20260111_113600_512,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_113600_512.wav,1,BirdNET,3.0,False
det_000022,event_20260111_113542_511,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_113542_511.wav,1,BirdNET,3.0,False
det_000023,event_20260111_112240_483,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_112240_483.wav,1,BirdNET,3.0,False
det_000024,event_20260111_110714_458,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_110714_458.wav,1,BirdNET,3.0,False
det_000025,event_20260111_110759_460,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_110759_460.wav,1,BirdNET,3.0,False
det_000026,event_20260111_110927_462,20260111_003017,nocall,nocall,1.0,0.0,3.0,0,15000,D:\20260111_003017\event_20260111_110927_462.wav,1,BirdNET,3.0,False
