event_id,session_id,start_time,end_time,duration_s,rms_mean,rms_max,peak_max,borderline,wav_path,notes,public_detections_count,public_species_unique,public_total_duration_s,public_top_species_by_count,public_top_species_by_duration
event_20260111_003024_001,20260111_003017,2026-01-11T00:30:24+01:00,2026-01-11T00:30:27+01:00,6.14,0.008185,,0.04756,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_003024_001.wav,,0,0,0.0,,
event_20260111_003032_002,20260111_003017,2026-01-11T00:30:32+01:00,2026-01-11T00:30:39+01:00,10.24,0.0070399999999999,,0.04652,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_003032_002.wav,,0,0,0.0,,
event_20260111_003053_003,20260111_003017,2026-01-11T00:30:53+01:00,2026-01-11T00:31:01+01:00,9.9,0.0050349999999999,,0.04094,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_003053_003.wav,,0,0,0.0,,
event_20260111_003104_004,20260111_003017,2026-01-11T00:31:04+01:00,2026-01-11T00:31:46+01:00,45.06,0.008355,,0.11168,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_003104_004.wav,,0,0,0.0,,
event_20260111_003146_005,20260111_003017,2026-01-11T00:31:46+01:00,2026-01-11T00:32:10+01:00,24.75,0.045285,,0.23057,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_003146_005.wav,,0,0,0.0,,
event_20260111_003215_006,20260111_003017,2026-01-11T00:32:15+01:00,2026-01-11T00:34:06+01:00,113.32,0.003565,,0.05936,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_003215_006.wav,,0,0,0.0,,
event_20260111_003407_007,20260111_003017,2026-01-11T00:34:07+01:00,2026-01-11T00:34:35+01:00,29.87,0.037225,,0.78826,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_003407_007.wav,,0,0,0.0,,
event_20260111_003437_008,20260111_003017,2026-01-11T00:34:37+01:00,2026-01-11T00:34:41+01:00,6.14,0.007915,,0.05131,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_003437_008.wav,,0,0,0.0,,
event_20260111_003443_009,20260111_003017,2026-01-11T00:34:43+01:00,2026-01-11T00:35:06+01:00,23.89,0.001815,,0.04227,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_003443_009.wav,,0,0,0.0,,
event_20260111_003506_010,20260111_003017,2026-01-11T00:35:06+01:00,2026-01-11T00:35:15+01:00,9.73,0.001955,,0.04107,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_003506_010.wav,,0,0,0.0,,
event_20260111_004418_011,20260111_003017,2026-01-11T00:44:18+01:00,2026-01-11T00:44:25+01:00,9.39,0.009455,,0.04979,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_004418_011.wav,,0,0,0.0,,
event_20260111_005216_012,20260111_003017,2026-01-11T00:52:16+01:00,2026-01-11T00:52:22+01:00,9.05,0.00771,,0.04092,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_005216_012.wav,,0,0,0.0,,
event_20260111_022948_013,20260111_003017,2026-01-11T02:29:48+01:00,2026-01-11T02:29:53+01:00,7.17,0.008985,,0.04367,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_022948_013.wav,,0,0,0.0,,
event_20260111_032413_014,20260111_003017,2026-01-11T03:24:13+01:00,2026-01-11T03:24:20+01:00,10.24,0.00817,,0.0483,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_032413_014.wav,,0,0,0.0,,
event_20260111_034802_015,20260111_003017,2026-01-11T03:48:02+01:00,2026-01-11T03:48:07+01:00,8.53,0.0078,,0.05228,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_034802_015.wav,,0,0,0.0,,
event_20260111_043215_016,20260111_003017,2026-01-11T04:32:15+01:00,2026-01-11T04:32:20+01:00,7.17,0.006205,,0.05266,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_043215_016.wav,,0,0,0.0,,
event_20260111_044545_017,20260111_003017,2026-01-11T04:45:45+01:00,2026-01-11T04:45:50+01:00,7.34,0.00726,,0.05092,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_044545_017.wav,,0,0,0.0,,
event_20260111_064910_018,20260111_003017,2026-01-11T06:49:10+01:00,2026-01-11T06:49:14+01:00,7.51,0.00879,,0.04151,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_064910_018.wav,,0,0,0.0,,
event_20260111_065715_019,20260111_003017,2026-01-11T06:57:15+01:00,2026-01-11T06:57:19+01:00,6.49,0.00984,,0.04005,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_065715_019.wav,,0,0,0.0,,
event_20260111_070313_020,20260111_003017,2026-01-11T07:03:13+01:00,2026-01-11T07:03:19+01:00,9.05,0.008605,,0.04333,False,/home/villedieurio/evened/keep/20260111_003017/event_20260111_070313_020.wav,,0,0,0.0,,
